trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1}",20,0,-63.04965303807839,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1}",20,0,-81.9843671262567,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1}",20,0,-69.33813079054119,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1}",20,0,-43.63131567532581,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1}",25,0,-76.25196410016515,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1}",25,0,-105.90157508065575,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1}",25,0,-130.98899933580824,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1}",30,0,-146.78969655501317,"{0: 17, 1: 5, 2: 6, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1}",20,0,-63.034099611706644,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1}",20,8,-20.753626319525726,"{0: 8, 1: 3, 2: 0, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 1}",30,5,-68.44188804000899,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 1}",20,0,-92.00739414523163,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1}",20,0,-140.1142456952759,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1}",20,0,-27.751330261157396,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1}",25,0,-174.49495913497844,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1}",25,1,-46.48847271077435,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 1}",25,0,-65.23020109317595,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1}",30,0,-238.652547581425,"{0: 17, 1: 2, 2: 6, 3: 1, 4: 4}",0
19,False,"{'a': 0.5, 'e': 1}",30,0,-122.294281408143,"{0: 16, 1: 5, 2: 8, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1}",20,0,-136.78358011494788,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1}",20,0,-118.73714448921255,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1}",25,0,-131.009761131953,"{0: 15, 1: 2, 2: 4, 3: 3, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1}",25,0,-16.554470778183088,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
